Kel J ! Kel,Kelyng# Sir John's Reports (ER vol 84),UK! R-U,1662-1669
Kel W,Kelynge# William's Reports (ER vol 25),UK!R-U, 1730-1732
Keny,Kenyon's Reports (ER vol 96),UK!R-U, 1753-1 759
Kenya,Kenya Law Reports,Kenya, 1897-1956
 KLR,Kenya Law Reports,Afr, 1897-1956
 Kn,Knapp's Appeal Cases (ER vol 12),UK! R-U,1829-1836
LAC,Labour Arbitration Cases,Can (ON), 1948-1972
LAC (2d),Labour Arbitration Cases (Second Series),Can (ON),1973-1 981
LAC (3d),Labour Arbitration Cases (Third Series),Can (ON),1982-1989
LAC (4th),Labour Arbitration Cases (Fourth Series),Can (ON),1989-
Lane,Lane's Reports (ER vol 145),UK! R-U, 1605-16 11
Lap Sp Dec,Laperrier's Speakers' Decisions,Can,
LAR,Labor Arbitration Reports,US! E-U,1946-
Latch,Latch's Reports# King's Bench (ER vol 82),UK! R-U, 1625-1628
LC Jur,Lower Canada Jurist,Can (QC), 1847-189 1
LCBD,Land Compensation Board Decisions,Can (ON),1971-1 983
LCR,Land Compensation Reports,Can,1969-
LCR,Lower Canada Reports,Can (QC), 1851-1 867
Leach,Leach's Cases on Crown Law (ER vol 168),UK) R-U, 1730-18 15
L Ed,United States Supreme Court# Lawyers' Edition,US? E-U, 1790-1 955
L Ed (2d),United States Supreme Court# Lawyers' Edition (Second Series),US / E-U, 1956-1979
Lee,Lee's Ecclesiastical Reports (ER vol 161),UK? R-U,1752-1758
Leo,Leonard's Reports (ER vol 74),UK? R-U, 1540-16 15
Lev,Levinz's Reports (ER vol 83),UK? R-U, 1660-1697
Lewin,Lewin's Crown Cases on the Northern Circuit (ER vol 168),UK JR-U,1822-1838
Le & Ca,Leigh & Cave's Reports (ER vol 169),UK?R-U,186 1-1865
Ley,Ley's Reports (ER vol 80),UK JR-U,1608-1 629
Lilly,Lilly's Assize Cases,UK?R-U,1688-1693
Lit,Littleton's Reports (ER vol 120),UK?R-U,1626-1632
LI LR,Lloyd's List Law Reports,UK?R-U, 19 19-1950
Lloyd's LR,Lloyd's Law Reports,UK? R-U, 1968-
Lloyd's Rep,Lloyd's List Law Reports,UK?R-U,195 1-1967
Lloyd's Rep Med,Lloyd's Law Reports (Medical),UK? R-U,1998-
LN,Legal News,Can (QC),1878-1897?
LRA& E,Law Reports# Admiralty and Ecclesiastical Cases (ER vols 1-4),UK? R-U,1865-1875
LRA& E,Law Reports# Admiralty and Ecclesiastical Cases,UK!R-U,1865-1875
LR CCR,Law Reports# Crown Cases Reserved,UK?R-U,1865-1875
LR CP,Law Reports# Common Pleas,UK? R-U, 1865-1 875
LRChApp,Law Reports# Chancery Appeals,UK?R-U, 1865-1875
LR Eq,Law Reports# Equity Cases,UK? R-U, 1865-1 875
LR Ex,Law Reports# Exchequer,UK?R-U, 1865-1875
LRHL,Law Reports# English and Irish Appeal Cases,I? UK?R-U, 1865-1 875
LR Ir,Law Reports# Ireland,I, 1878-1 893
LR P & D,Law Reports# Probate and Divorce,UK? R-U, 1865-1 875
LR QB,Law Reports# Queen's Bench,UK?R-U, 1865-1875
LR RP,Law Reports# Restrictive Practices,UK? R-U, 1957-1 972
LR Sc & Div,Scotch and Divorce Appeal Cases,UK?R-U,18661875
LRPC,Law Reports# Privy Council,UK? R-U, 1865-1 875
Lush,Lushington's Reports (ER vol 167),UK?R-U, 1859-1862
Lut,Lutwyche's Reports (ER vol 125),UK? R-U, 1682-1 704
M&M,Moody & Malkin (ER vol 173),UK? R-U, 1826-1830
M & Rob,Moody & Robinson (ER vol 174),UK / R-U,1831-1 844
M&S,Maule & Selwyn's Reports (ER vol 105),UK/R-U,1813-18 17
M &W,Meeson & Welsby's Reports (ER vols 150-153),UK! R-U,1836-1847
Mac & G,M'Naghten & Gordon's Reports (ER vols 41-42),UK JR-U,1849-1 851
MacI & R,Maclean & Robinson's Reports (ER vol 9),UK/R-U,1839
MACMLC,Digest of the Selected Judgements of the Maori Appellate Court and Maori Land Court,NZ / N-Z,1858-1968
Madd,Maddock's Reports (ER vol 56),UK / R-U,1815-1 822
Man & G,Manning & Granger's Reports (ER vols 133-1 35),UK / R-U, 1840-1844
Man LR,Manitoba Law Reports (Queen's Bench),Can (MB),1884-1 890
Man MTBD,Manitoba Motor Transport Board Decisions,Can (MB),1985-
Man R,Manitoba Reports,Can (MB),1883-196 1
Man R (2d),Manitoba Reports (Second Series),Can (MB),1979-
Man R temp Wood,Manitoba Reports temp Wood (ed Armour),Can (MB),1875-1883
Maori L Rev,Maori Law Review,NZIN-Z,1993-
March# NR,March's New Cases (ER vol 82), UK/R-U,1639-1 642
MC,Malayan Cases,Sing,1939-?
MCC,Mining Commissioner's Cases,Can (ON),1906-1 979?
MCD,Magistrates' Court Decisions,NZ /N-Z,1939-1979
M'Cle,M'Cleland's Reports (ER vol 148),UK / R-U,1824
M'Cle & Yo,M'Cleland & Younge's Reports (ER vol 148),UK JR-U,1824-1825
MCR,Montreal Condensed Reports,Can (QC),1853-1 854
MCR,Précis des decisions des tribunaux du district de Montréal,Can (QC),1853-1854
MCR,Magistrates' Court Reports,NZIN-Z,1939-1979
Mer,Merivale's Reports (ER vols 35-36),UK/R-U,1815-1817
MHRC Dec,Manitoba Human Rights Commission Decisions,Can (MB),197 1-1982
MLB Dec,Manitoba Labour Board Decisions,Can (MB),1985-
MU,Malayan Law Journal,Sing, 1932-
MLR (KB),Montreal Law Reports# King's Bench,Can (QC), 1885-189 1
MLR (QB),Montreal Law Reports# Queen's Bench,Can (QC),1885-1891
MLR (SC),Montreal Law Reports# Superior Court,Can (QC),1885-189 1
Mod,Modern Reports (ER vols 86-88),UK / R-U, 1669-1732
Mont Cond Rep,Montreal Condensed Reports,Can (QC), 1853-1 854
Moo Ind App,Moore's Reports# Indian Appeals# Privy Council (ER vols 18-20),UKIR-U,1836-1872
Moo KB,Moore's Reports# King's Bench (ER vol 72),UK/R-U,151 9-1621
 Moo PC,Moore's Reports# Privy Council (ER vols 12-15), UK / R-U, 1836-1 862
Moo PCNS,Moore's Reports# Privy Council# (New Series) (ER vols 15-17), UK / R-U, 1862-1873
Mood,Moody's Reports (ER vols 168-169), UK / R-U, 1824-1837
Mos,Mosely's Reports (ER vol 25), UK / R-U, 1726-1731
MPLR,Municipal and Planning Law Reports, Can, 1976-1990
MPLR (2d),Municipal and Planning Law Reports (Second Series), Can, 1991-
MPR,Maritime Provinces Reports, Can, 1929-1968
MVR,Motor Vehicle Reports, Can, 1979-1 988
MVR (2d),Motor Vehicle Reports (Second Series), Can, 1988-1994
MVR (3d),Motor Vehicle Reports (Third Series), Can, 1994-2000
MVR (4th),Motor Vehicle Reports (Fourth Series),Can, 2000-
My & Cr,Mylne & Craig's Reports (ER vols 40-41) ,UK! R-U, 1835-1 840
My & K,Mylne & Keen's Reports (ER vols 39-40),UK! R-U, 1832-1835
NACD,Native Appeal Court Selected Decisions (Natal and Transvaal),S Afr du sud, 1930-1948
NACR,Native Appeal Court Reports ,S Afr du sud,1951-
NB Eq,New Brunswick Equity Reports (Trueman) ,Can (NB), 1894-1911
NB Eq Cas,New Brunswick Equity Cases (Trueman) ,Can (NB), 1876-1 893
NBESTD,New Brunswick Employment Standards Tribunal Decisions,Can (NB), 1986-
NBHRC Dec,New Brunswick Human Rights Commission Decisions,Can (NB), 1974-1982
NBLLC,New Brunswick Labour Law Cases ,Can (NB), 1965-1 979
NBPPABD,New Brunswick Provincial Planning Appeal Board Decisions,Can (NB), 1973-1 983
NBR,New Brunswick Reports,Can (NB), 1825-1 928
NBR (2d),New Brunswick Reports (Second Series),Can (NB), 1969-
NE,Northeastern Reporter ,US! E-U, 1885-1 936
NE (2d),Northeastern Reporter (Second Series) ,US! E-U, 1936-
NEBD,National Energy Board—Reasons for Decision ,Can, 1970-
Nels,Nelson's Reports# Chancery (ER vol 21) ,UK! R-U, 1625-1693
Nfld & PEIR,Newfoundland and Prince Edward Island Reports,Can (NF!PEI), 1971-
Nfld LR,Newfoundland Law Reports ,Can (NF), 1817-1949
NHRC Dec,Newfoundland Human Rights Commission Decisions,Can (NF), 1971-1 977
NI,Northern Ireland Law Reports ,NI! IN, 1925-
NLR,Nigeria Law Reports ,Nigeria, 1881-1 955
NLR,Nyasaland Law Reports (Malawi) ,Malawi, 1922-1952
 NLR (OS),Natal Law Reports (Old Series) ,SAfrdu sud, 1867-1872
NLR (NS),Natal Law Reports (New Series) ,S Afrdu sud, 1879-1 932
Noy,Noys Reports (ER vol 74) ,UK I R-U, 1559-1 649
NPDR,Natal Provincial Division Reports ,SAfrdu sud, 1933-1946
NR,National Reporter ,Can, 1973-
NSHRC Dec,Nova Scotia Human Rights Commissions Decisions,Can (NS), 1972-1 980
NSBCPU Dec,Nova Scotia Board of Commissioners of Public Utilities Decisions,Can (NS), 1923-1973
NSCGA Dec,Nova Scotia Compendium of Grievance Arbitration Decisions,Can (NS), 1978-
NSR,Nova Scotia Reports ,Can , 1834-1 929# 1965-1 969
NSR (2d),Nova Scotia Reports (Second Series) ,Can (NS), 1969-
NSRUD,Reported and Unreported Decisions ,Can (NS), 1979-1 984
NSWSCR,New South Wales Supreme Court Reports ,Austl (NSW), 1862-1 976
NSW St R,New South Wales State Reports Austl (NSW),Austl (NSW), 1901-1 970
NSWLR,New South Wales Law Reports Austl (NSW) ,Austl (NSW),1880-1 900# 1971-
NSWR,New South Wales Reports Austl (NSW) ,Austl (NSW),1960-1 970
NSWWN,New South Wales Weekly Notes Austl (NSW) ,Austl (NSW),1884-1 970
NTAD (Air),National Transportation Agency Decisions (Air) ,Can,1988-1992
NTAD (Rwy),National Transportation Agency Decisions (Railway),Can,1988-1 991
NTAO (Air),National Transportation Agency Orders (Air) ,Can,1988-1992
NTAR,National Transportation Agency of Canada Reports,Can,1988-1995
NTJ,Northern Territory Judgments ,Austl(NT),1951-1976
NTLR,Northern Territory Law Reports ,Austl (NT),1992-
NTR,Northern Territory Reports ,Austl (NT),1978-
NW,Northwestern Reporter ,US! E-U,1879-1942
NW (2d),Northwestern Reporter (Second Series) ,US! E-U,1942-
NWTR,Northwest Territories Reports ,Can (NWT),1983-1998
NWTSCR,Northwest Territories Supreme Court Reports ,Can (NWT),1889-1900
NY,New York Reports ,US! E-U,1885-1955
NY (2d),New York Reports (Second Series) ,US! E-U,1956-
NYS (2d),New York Supplement (Second Series) ,US! E-U,1956-
NZHRC Dec,New Zealand Human Rights Commission Decisions,NZ! N-Z,1979-?
NZAC,Judgments of the Arbitration Court of New Zealand,NZ! N-Z,1979-1986
NZAR,New Zealand Administrative Reports ,NZIN-Z,1976-
NZBLC,New Zealand Business Law Cases ,NZIN-Z,1984-
NZFLR,New Zealand Family Law Reports ,NZIN-Z, 1981-
NZILR,New Zealand Industral Law Reports ,NZIN-Z, 1987-1 990
NZIPR,New Zealand Intellectual Property Reports,NZIN-Z,1967-1987
NZLR,New Zealand Law Reports ,NZIN-Z,1883-
NZPCC,New Zealand Privy Council Cases ,NZIN-Z,1840-1 932
NZTC,New Zealand Tax Cases ,NZIN-Z,1973-
OAC,Ontario Appeal Cases ,Can,1984-
OAR,Ontario Appeal Reports ,Can (ON),1876-1 900
OELD,Ontario Environmental Law Digest ,Can (ON),1996-
OFLR,Ontario Family Law Reporter ,Can (ON),1987-
OHRCBI,Ontario Human Rights Commission - Board of Inquiry,Can (ON),1963-1 996
OHRC Dec,Ontario Human Rights Commission Decisions ,Can (ON),1956-1 995?
OHRC Transcr,Ontario Human Rights Commission# Trancripts of Selected Hearings,Can (ON),1968-1 973
OICArb,Ontario Insurance Commission - Arbitration Cases,Can (ON),1995-
Olmsted PC,Olmsted's Privy Council Decisions ,Can,1867-1 954
OLR,Ontario Law Reports ,Can (ON),1900-1931
OLRB Rep,Ontario Labour Relations Board Reports ,Can (ON),1944-
OMB Dec,Ontario Municipal Board Decisions ,Can (ON),1953-1 994
OMB Index,Ontario Municipal Board Index to Applications Disposed of,Can (ON),1969-1992
OMBEAB,Joint Board of the Ontario Municipal Board and the Environmental Assessment Board Decisions,Can (ON),1984-
OMBR,Ontario Municipal Board Reports ,Can (ON),1973-
ONED,Office national de lenergie# decisions ,Can,1970-
Ont Building Code Comm'n Rulings,Ontario Building Code Commission Rulings ,Can (ON),1980-?
Ont CIP OM,Commissaire a l'information eta Ia protection de la vie privee de I'Ontario# ordonnances# série M,Can (ON),1988-1 998
Ont CIP OP,Commissaire a l'information eté Ia protection de la vie privée de I'Ontario# ordonnances# série P,Can (ON),1989-1 998
Ont CIP somm,Commissaire a l‘information eté Ia protection de app la vie privee de I'Ontario# sommaires des appels,Can (ON),1990-1 992
ONTD (aérien),Office national des transports du Canada decisions (transport aérien),Can,1988-1 992
ONTD (chemins de fer),Office national des transports du Canada decisions (chemins defer),Can,1988-1 991
 Ont D,Crim Ontario Decisions—Criminal ,Can (ON),1997-1999
Ont D,Crim Cony Ontario Decisions—Criminal Convictions Cases ,Can (ON),1980-1996
Ont D,Crim Sent Ontario Decisions—Criminal Sentence Cases ,Can (ON),1984-1996
Ont Educ Rel Comm'n Grievance Arb,Ontario Education Relations Commission Grievance Arbitrations,Can (ON),1970-1985
Ont Elec,Ontario Election Cases  ,Can (ON),1884-1 900
Ont En Bd Dec,Ontario Energy Board Decisions ,Can (ON),1961-
Oft Envtl Assessment Bd Decisions Dec,Ontario Environmental Assessment Board ,Can (ON),1980-
Ont Health Disciplines Bd Dec,Ontario Health Disciplines Board Decisions,Can (ON),1980-
Ont IPC OM,Ontario Information and Privacy Commissioner# Orders# M Series,Can (ON),1988-1998
Ont IPC OP,Ontario Information and Privacy Commissioner# Orders# P Series,Can (ON),1989-1998
Ont IPC Sum App,Ontario Information and Privacy Commissioner# Summaries of Appeals,Can (ON),1990-1992
Ont Lab-Mgmt Arb Comm'n Bull,Ontario Labour-Management Arbitration Commission Bulletin,Can (ON),1978-1 986
Ont Liquor Licence App Trib Dec,Ontario Liquor Licence Appeal Tribunal# Summaries of Decisions,Can (ON),1977-1981
Ont Min Community & Soc Serv Rev Bd Dec,Ontario Ministry of Community and Social  Services Review Board Decisions,Can (ON),1974-1978
Ont Pol R,Ontario Police Reports ,Can (ON),1980-
OPR,Ontario Practice Reports ,Can (ON),1848-1901
OR,Ontario Reports ,Can (ON),1882-1900# 1931-1 973
OR (2d),Ontario Reports (Second Series) ,Can (ON),1973-1 990
OR (3d),Ontario Reports (Third Series) ,Can (ON),1991-
Orange Free State Prov Div R,Orange Free State Provincial Division Reports ,S Afr du sud,1910-1946
OSC Bull,Ontario Securities Commission Bulletin ,Can (ON),1949-
OSCWS,Ontario Securities Commission Weekly Summary,Can (ON),1967-1 980
OWCAT Dec,Ontario Workers' Compensation Appeals Tribunal Decisions,Can (ON),1986-1 989
Ow,Owen's Reports (ER vol 74) ,UK? R-U,1556-1615
OWN,Ontario Weekly Notes ,Can (ON),1909-1962
OWR,Ontario Weekly Reporter,Can (ON),1902-1916
P,Law Reports# Probate# Divorce# and Admiralty Division,UK? R-U,1891-1971
P,Pacific Reporter ,US? E-U,1883-1931
P (2d),Pacific Reporter (Second Series) ,US? E-U,1931-2000
P (3d),Pacific Reporter (Third Series) ,US? E-U,2000-
P Wms,Peere Williams's Reports (ER vol 24) ,UK? R-U,1695-1735
Palm,Palmer's Reports (ER vol 81) ,UK? R-U,1619-1629
Park,Parker's Reports (ER vol 145) ,UK? R-U,1743-1 767
Patr Elec Cas,Patrick's Election Cases (Upper Canada / Canada West),Can (ON),1824-1849
PCIJ (Ser A),Publications of the Permanent Court of International Justice: Series A# Collection of Judgments,EU! UE,1922-1930
PCIJ (Ser B),Publications of the Permanent Court of International Justice: Series B# Collection of Advisory Opinions,EU! UE,1922-1930
PCIJ (Ser A/B),Publications of the Permanent Court of International Justice: Series NB# Judgments# Orders and Advisory Opinions,EU! UE,1931-1940
PCIJ (Ser C),Publications of the Permanent Court of International Justice# Series C# Pleadings# Oral Statements and Documents,EU! UE,1922-1 940
PD,Law Reports# Probate and Divorce ,UK? R-U,1875-1 890
Peake,Peake's Reports (ER vol 170) ,UK? R-U,1790-1812
Peake Add Cas,Peake's Reports (Additional Cases) (ER vol 170),UK? R-U,1790-1912
PEI,Prince Edward Island Supreme Court Reports ,Can (PEI),1850-1882
PER,Pay Equity Reports ,Can (ON),1990-
Per CS,Extraits ou precedents des arrêts tires des registres du Conseil supérieur de Québec (Perrault),Can (QC),1727-1 759
Perr P,Extraits ou precedents des arréts tires des registres de Ia prévosté de Québec,Can (QC),1753-1 854
Peters,Peters' Prince Edward Island Reports ,Can (PEI),1850-1 872
PEP,Pandectesfrancaises périodiques ,France,1791-1844
Ph,Phillips' Reports (ER vol 41) ,UK? R-U,1841-1849
Phill Ecc,Phillimore's Reports (ER vol 161) ,UK? R-U,1809-1821
PI Com,Plowden's Commentaries (ER vol 75) ,UK? R-U,1550-1 580
PNGCB Alta,Petroleum and Natural Gas Conservation Board of Alberta,Can (AB),1938-1957
Pollex,Pollexfen's Reports (ER vol 86) ,UK! R-U,1669-1685
Pop,Popham's Reports (ER vol 79) ,UK! R-U,1592-1627
PPR,Planning and Property Reports ,Can (ON),1960-1 963
PPSAC,Personal Property Security Act Cases ,Can,1977-1990
PPSAC (2d),Personal Property Security Act Cases (Second Series),Can,1991-2000
PPSAC (3d),Personal Property Security Act Cases (Third Series),Can,200 1-
PRBC,Procurement Review Board of Canada Decisions,Can,1990-?
PRBR,Pension Review Board Reports,Can,1972-1986
Prec Ch,Precedents in Chancery (T Finch) (ER vol 24),UK? R-U,1689-1722
Price,Price's Reports (ER vols 145-147),UK? R-U,18 14-1824
Pyke,Pyke's Reports,Can (QC),1809-1 810
QAC,Québec Appeal Cases,Can (QC),1986-1 995
QB,Queen's Bench Reports (ER vols 113-118),UK? R-U,1841-1852
QBD,Law Reports# Queen's Bench Division,UK? R-U,1875-1 890
Qc Comm dp dec,Québec Commission des droits de Ia personne# decisions des tribunaux,Can (QC),1977-198 1
Qid Lawyer Reps,Queensland Lawyer Reports,Austl (Qld),1973-
QLR,Quebec Law Reports,Can (QC),1875-1 891
QPR,Québec Practice Reports,Can (QC),1896-1944
QR,Queensland Reports,Austl (Qld),1958-
Q St R,Queensland State Reports,Austl (Qld),1902-1957
RAC,Ramsay# Appeal Cases,Can (QC),1873-1886
RAT,Recueil d'arrêts sur les transports,Can,1966-1977
Raym Ld,Raymond# Lord Reports (ER vols 91-92),UK? R-U,1694-1 732
Raym T,Raymond# Sir T Reports (ER vol 83),UK?R-U,1660-1 684
RCCT,Recueil des decisions de Ia Commission canadienne des transports,Can,1978-1986
RCDA,Recueil des decisions de Ia Commission du droit d'auteur,Can,1990-1994
RCDA,Recueil de jurisprudence canadienne en droit des assurances,Can,1983-1 991
RCDA (2e),Recueil de jurisprudence canadienne en droit des assurances (deuxiéme série),Can,1991-1 998
RCDA(3e),Recueil de jurisprudence canadienne en droit des assurances (troisiéme série),Can,1998-
RCDE,Recueil de jurisprudence canadienne en droit de l'environnement,Can,1978-1985
RCDE (ns),Recueil de jurisprudence canadienne en droit de l'environnement (nouvelle serie),Can,1986-
RC de I'É,Recueil des arrêts de Ia Cour de l'Echiquier,Can,1875-1922
RC de l'É,Rapports judiciaires du Canada: Cour de l'Echiquier,Can,1823-1 970
RCDF,Recueil de jurisprudence canadienne en droit de Ia faillite,Can,1920-1960
RCDF (2e),Recueil de jurisprudence canadienne en droit de Ia faillite (deuxieme serie),Can,1960-1 990
RCDF (3e),Recueilde jurisprudence canadienne en droit de Ia faillite (troisieme série),Can,1991 -1 998
RCDF (4e),Recueil de jurisprudence canadienne en droit de la faillite (quatrieme série),Can,1998-
RCDSST,Recueil de jurisprudence canadienne en droit de la sante et de sécurité au travail,Can,1989-1993
RCDT,Recueilde jurisprudence canadienne en droit du travail,Can,1983-1 994
RCDT(2e),Recueil de jurisprudence canadienne en droit du travail (deuxième serie),Can,1994-2000
RCDT (3e),Recueil de jurisprudence canadienne en droit du travail (troisiéme série),Can,2000-
RCDVM,Recueil de jurisprudence canadienne en droit des valeurs mobilières,Can,1993-1998
RCE / Rec / Recueil Lebon,Recueil des arréts du Conseil d'Etat statuant  au contentieux et du Tribunal des conflits# des arrëts des cours administratives d'appel et des jugements des tribunaux administratifs,France,1821-
 RCF,Recueil des decisions des Cours fédérales,Can,1971-
RCRAS,Recueil do jurisprudence canadienne en matière de retraite et d'avantages sociaux,Can,1994-
RCRC,Recueil de jurisprudence canadienne en responsabilité civile,Can,1976-1990
RCRC (2e),Recueil de jurisprudence canadienne en responsabilité civile (deuxième série),Can,1990-2000
RCRC (3e),Recueil de jurisprudence canadienne en responsabilite civile (troisieme serie),Can,2000-
RCRP,Recueil des arrêts du Conseil de revision des pensions,Can,1972-1 986
RCS,Rapports judiciaires du Canada : Cour supreme,Can,1923-1969
RCS,Recueils des arréts de Ia Cour supreme du Canada,Can,1877-1922# 1970-
RCTC,Rapports de Ia Commission do Tarif,Can,1937-1988
RCCC,Recueil des decisions du Conseil constitutionnel,France,1959-
RDCFQ,Recueil des decisions# Commission do la fonction publique et Comité d'appel de la fonction publique,Can (QC),1990-
RDF,Recueil do droit de la famille,Can,1986-
RDFQ,Recueil de droit fiscal quebecois,Can (QC),1977-
RDI,Recueil de droit immobilier,Can (QC),1986-
RDJ,Revue de droitjudiciaire,Can (QC),1983-1996
RDJC,Recueil do droit judiciaire de Carswell,Can,1976-1 985
RDJC (2e),Recueil de droit judiciaire de Carswell (deuxierne serie),Can,1985-1 992
RDJC (3e),Recueil de droit judiciaire de Carswell (troisièrne serie),Can,1992-1 997
RDJC (4e),Recueil de droit judiciaire de Carswell (quatrierne serie),Can,1997-200 1
RDJC (5e),Recueil de droit judiciaire de Carswell (cinquieme serie),Can,2001-
RDP,Revue de droit penal,Can (QC) ,1978-1 983
RDRTQ,Recueil des decisions# Regie des telecommunications du Québec,Can (QC),1990-
RDT,Revue de droit du travail,Can (QC) ,1963-1 976
RECJ,Records of the Early Courts of Justice of Upper Canada,Can (ON),1789-1 984
Rep pen & proc pen,Encyclopedie juridique Dalloz: Repertoire de droit penal et de procedure pénale,France,1951-
Rep admin,Encyclopedie juridique Dalloz: Repertoire de contentieux administratif,France,195 1-
Rep Ch,Reports in Chancery (ER vol 21),UK I R-U,161 5-1 710
Rep civ,Encyclopediejuridique Dalloz: Repertoire de droit civil,France,1951-
Rep corn,Encyclopediejuridique Dalloz: Repertoire de droit commercial,France,1951-
Rep commun,Encyclopedie juridique Dalloz: Repertoire de droit communautaire,France,1957-
Rep proc civ,Encyclopedie juridique Dalloz: Repertoire de procedure civile,France,195 1-
Rep soc,Encyclopedie juridique DalIoz Repertoire des sociétés,France,195 1-
Rep t Finch,Reports# temp Finch (Nelson's folio Reports) (ER vol 23),UKIR-U,1673-168 1
Rep tr,Encyclopedie juridique Dalloz: Repertoire de droit du travail,France,1951-
Rev serv arb,Revue des services d'arbitrage,Can,1977-
RFL,Reports of Family Law,Can,197 1-1978
RFL (2d),Reports of Family Law (Second Series),Can,1978-1986
RFL (3d),Reports of Family Law (Third Series),Can,1986-1994
RFL (4th),Reports of Family Law (Fourth Series),Can,1994-2000
RFL (5th),Reports of Family Law (Fifth Series),Can,2000-
Rhod & NLR,Rhodesia & Nyasaland Law Reports,E Afr,1956-1963
Rhod LR,Rhodesian Law Reports,Zimb,1964-1979
Ridg t Hard,Ridgeway# temp Hardwicke's Reports (ER vol 27),UK? R-U,1733-1745
RIAA,Report of International Arbitral Award,Int'l,1948-
Ritch Eq Rep,Ritchie's Equity Reports ,Can (NS),1873-1882
RJ imm,Recueil de jurisprudence en droit de l‘immigration,Can,1985-1987
RJ imm (2e),Recueil de jurisprudence en droit de l‘immigration (deuxième série),Can,1987-1999
RJ imm (2e),Recueil de jurisprudence en droit de l'immigration (deuxième série),Can,1999-
RJC,Revue de jurisprudence commerciale ,France,1957-
RJC,Recueil de jurisprudence en droit criminel ,Can,1946-1967
RJC (ns),Recueil de jurisprudence en droit criminel (nouvelle série),Can,1967-1978
RJC (3e),Recueil de jurisprudence en droit criminel (troisième série),Can,1978-1991
RJC (4e),Recueil de jurisprudence en droit criminel (quatrième série),Can,1991-1996
RJC (5e),Recueil dejurisprudence en droit criminel (cinquième série),Can,1997-
RJDA,Recueil dejurisprudence en droit des affaires ,Can,1977-1990
RJDA(2e),Recueil de jurisprudence en droit des affaires (deuxième série),Can,1991-
RJDA(2e),Recueil de jurisprudence en droit des affaires (deuxième série),Can,1991-1 999
RJDA (3e),Recueil de jurisprudence en droit des affaires (troisième série),Can,2000-
RJDC,Recueil do jurisprudence en droit de le construction,Can,1983-1992
RJDC (2e),Recueil de jurisprudence en droit de la construction (deuxième série),Can,1992-2000
RJDC (3e),Recueil de jurisprudence en droit de la construction (troisième série),Can,2000-
RJDI,Recueil de jurisprudence en droit immobilier ,Can,1977-1989
RJDI (2e),Recueil de jurisprudence en droit immobilier (deuxième série),Can,1989-1996
RJDI(3e),Recueil de jurisprudence en droit immobilier (troisième série),Can,1996-
RJDM,Recueil de jurisprudence en droit municipal ,Can,1976-1 990
RJDM (2e),Recueil de jurisprudence en droit municipal (deuxième série),Can,1991-
RJDT,Recueil do jurisprudence en droit du travail ,Can (QC),1998-
RJF,Revue de jurisprudence fiscale (ancien titre / former titre: Bulletin des contributions directes# de la taxe sur la valeur ajoutée et des impôts indirects),France,1975-
RJF,Recueil de jurisprudence en droit de la famille ,Can,1971-1 978
RJF (2e),Recueil do jurisprudence en droit de la famille (deuxième série),Can,1978-1986
RJF(3e), Recueil de jurisprudence en droit do Ia famille (troisiéme série),Can,1986-1994
RJF (4e),Recueil de jurisprudence en droit do Ia famille (quatriéme série),Can,1994-2000
RJF (5e),Recueil de jurisprudence en droit do Ia famille (cinquième serie),Can,2000-
RJO (3e),Recuell do jurisprudence do ‘Ontario (troisieme série) (1882-1 991SvoirOntario Reports),Can (ON),199 1-
RJQ, Recueils de jurisprudence du Québec,Can (QC),1875-1 891# 1975-
RJS,Revue do jurisprudence sociale,France,1989-
RL,Revue legale,Can (QC),1869-1892
RL,Revue legale,Can (QC),1943-
RL (ns),Revue légale (nouvelle série),Can (QC),1895-1 943
RNB (2d),Recueil des arréts du Nouveau Brunswick (deuxiéme série),Can (NB),1969-
Rob / Rob Chr,Robinson# C's Reports (ER vol 165),UK? R-U,1798-1808
Rob Ecc,Robertson's Ecclesiastical Reports (ER vol 163),UK/R-U,1844-1853
Rolle ,Rolle's Reports (ER vol 81),UK?R-U,16 14-1625
RONTC,Recueil des decisions de l'office national des transports du Canada,Can,1988-
Roscoe,Roscoe's Reports,SAfrdu sud,1861-1878
RPC,Reports of Patent Cases,UK/R-U,1884-1955
RPC,Reports of Patent# Design and Trademark Cases,UK/R-U,1957-
RPEI,Reports of cases determined in the Supreme Court# Court of Chancery and Court of Vice-Admiralty of Prince Edward Island,Can (PEI),1850-1872
RPQ,Rapports do pratique de Québec,Can (QC),1897-1982
RPR,Real Property Reports,Can,1977-1 989
RPR (2d),Real Property Reports (Second Series),Can,1989-1996
RPR (3d),Real Property Reports (Third Series),Can,1996-
RPTA,Recueil en matière de protection du territoire agricole,Can (QC),1990-
RR,Revised Reports,UK/R-U,1785-1 865
RRA,Recueil en responsabilité et assurance,Can (QC),1986-
RS,Recueil Sirey,France,1955?-1965
RSA,Recueil de sentences arbitrales,Can (QC),198 1-1983
RSE,Recueil des sentences de l'éducation,Can (QC),1974-
RSF,Recueil de jurisprudence en droit des successions et des fiducies,Can,1977-1994
 RSF (2e),Recueil de jurisprudence en droit des successions et des fiducies (deuxième série),Can,1994-
RSP,Recueil des ordonnances de Ia régie des services publics,Can (QC),1973-1 978
RTC,Décisions et énoncés de politique sur la radiodiffusion et les télécommunications canadiennes,Can,1975-1985
