CP,Recueils de jurisprudence du Québec: Cour  provinciale,Can (QC), 1975-1 985
CPC,Carswell's Practice Cases ,Can, 1976-1 985
CPC (2d),Carswell's Practice Cases (Second Series),Can, 1985-1 992
CPC (3rd),Carswell's Practice Cases (Third Series),Can, 1992-1 997
CPC (4th),Carswell's Practice Cases (Fourth Series),Can, 1997-2001
CPC (5th),Carswell's Practice Cases (Fifth Series),Can, 2001-
CPC (Olmstead),Canadian Constitutional Decisions of the Judicial Committee of the Privy Council (Olmstead),Can, 1873-1954
CPC (Plaxton),Canadian Constitutional Decisions of the Judicial Committee of the Privy Council (Plaxton),Can, 1930-1939
CPD,Law Reports# Common Pleas Division ,UK?R-U, 1875-1 880
CPDR,Cape Provincial Division Reports,SAfrdu sud, 1910-1946
CPJI (Ser A),Publications de Ia Cour permanente de justice internationals: Série A: Recueil des arréts,Int'l, 1922-1930
CPJI (Sér B),Publications de Ia Cour permamente de justice internationale : Série B : Recueil des avis consultatifs,Int'l, 1922-1930
CPJI (Sér A/B),Publications de Ia Cour permamente de justice internationale : Série NB : Arrêts# ordonnances et avis consultatifs,Int'l, 1931-1940
CPJI (Sér C),Publications de Ia Cour permanente de justice internationale Série C : Plaidoiries# exposés oraux et documents,Int'l, 1922-1940
CPR,Canadian Patent Reporter ,Can, 1941-1 971
CPR (2d),Canadian Patent Reporter (Second Series) ,Can, 1971-1 984
CPR(3d),Canadian Patent Reporter (Third Series) ,Can, 1985-1999
CPR (4th),Canadian Patent Reporter (Fourth Series),Can, 1999-
CPRB,Procurement Review Board of Canada# decisions,Can, 1990-?
CPTA,Decisions de Ia Commission de protection du territoire agricole,Can (QC), 1984-1987
CR,Criminal Reports ,Can, 1946-1967
CR (3rd),Criminal Reports (Third Series),Can, 1978-1 991
CR (4th),Criminal Reports (Fourth Series),Can, 1991-1996
CR (5th),Criminal Reports (Fifth Series) ,Can, 1997-2002
CR (6th),Criminal Reports (Sixth Series),Can, 2002-
CR (NS),Criminal Reports (New Series) ,Can, 1967-1 978
CRAC,Canadian Reports: Appeal Cases: appeals allowed or refused by the Judicial Committee of the Privy Council,Can, 1828-1913
CRAT,Commercial Registration Appeal Tribunal - Summaries of Decisions,Can (ON), 1971-1979
CRC,Canadian Railway Cases ,Can, 1902-1939
CRD,Charter of Rights Decisions ,Can, 1982-
CRMPC,Commission de revision des marches publics du Canada# decisions,Can, 1990-?
CRNZ,Criminal Reports of New Zealand ,NZ / N-Z, 1983- 
CRR,Canadian Rights Reporter ,Can,1982-1991
CRR (2d),Canadian Rights Reporter ,Can, 1991-
CRRBDI,Canada Labour Relations Board Decisions and Information,Can, 1974-1 998
CRT,Canadian Radio-Television and Telecommunications decisions and policy statements,Can, 1975-1 985
CRTC,Canadian Railway and Transport Cases,Can, 1940-1966
CS,Recueils de jurisprudence du Québec: Cour superieure,Can (QC), 1967-1985
 CS,Rapports judiciaires officiels de Québec: Cour supérieure, Can (QC),1892-1966
CSD,Canadian Sentencing Digest, Can, 1980-1 994
CSP,Recueils de jurisprudence du Quebec: Cour des Sessions de Ia paix, Can (QC), 1975-1985
CT,Jurisprudence en droit du travail: Decisions des commissaires du travail, Can (QC), 1969-1 981
CT Cases,Canadian Transport Cases ,Can, 1966-1 977
CTAB,Canada Tax Appeal Board Cases ,Can, 1949-1 966
CTAB (NS),Canada Tax Appeal Board Cases (New Series) ,Can, 1967-1 971
CTBR,Canada Tariff Board Reports ,Can, 1937-1988
CTC,Canada Tax Cases Annotated ,Can, 1917-1 971
CTC (NS),Canada Tax Cases (New Series) ,Can, 1972-
CTC,Canadian Transport cases ,Can, 1966-1977
CTCATC,Canadian Transport Commission# Air Transport Committee Decisions,Can, 1967-1987
CTCDO,Canadian Transport Commission# Decisions and Orders Summary,Can, 1970-1 976
CTCMVTCD,Canadian Transport Commission# Motor Vehicle Transport Committee Decisions,Can, 1973-1987
CTCMVTCO,Canadian Transport Commission# Motor Vehicle Transport Committee Orders,Can, 1972-1987
CTCOA,Canadian Transport Commission# Orders (Air) ,Can, 1967-1987
CTCR,Canadian Transport Commission Reports ,Can, 1978-1 986
CTCRCD,Canadian Transport Commission# Review Committee Decisions,Can, 1971-1 987
CTCRTC,Canadian Transport Commission Railway Transport Committee—Judgments# Orders# Regulations# and Rulings(formerly: anciennement Board of Transport Commissioners for Canada),Can, 1967-1 987
CTCTCD,Canadian Transport Commission# Telecommunication Committee Decisions,Can, 1973-1 976
CTCTCO,Canadian Transport Commission# Telecommunication Committee Orders,Can, 1975-1 976
CTCWTCD,Canadian Transport Commission# Water Transport Committee# Decisions,Can, 1972-1 987
CTCWTCL,Canadian Transport Commission# Water Transport Committee# Licences,Can,1976
CTCWTCO,Canadian Transport Commission# Water Transport Committee# Orders,Can, 1979-1 987
CTR,Canadian Tax Reporter,Can, 1972-
CTR,Cape Times Reports, SAfrdusud, 1891-1910
CTR,Commission du tarif registre ,Can, 1981-1 988
CTR,De Boo Commodity Tax Reports,Can, 1987-1989
CTST ,Canada Trade and Sales Tax Cases,Can ,1989-1 991
CTTT,Décisions du Comm issaire du travail et du Tribunal du travail,Can (QC),1982-1993
